2026-01-17 11:12:24,731 | groundzero | INFO | __init__.py:137 | Loaded 0 user profiles
2026-01-17 12:01:01,725 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 12:01:01,727 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 12:01:11,344 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 12:01:11,344 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 12:01:11,344 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 12:01:15,124 | groundzero | INFO | __init__.py:123 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 17:49:07,501 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 17:49:07,503 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 17:49:07,503 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 17:49:07,505 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 17:49:07,506 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 17:49:07,509 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 17:49:07,509 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 17:49:07,509 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 17:49:07,510 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 17:49:07,511 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 17:49:07,512 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 17:49:07,815 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 17:49:07,815 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 17:49:07,815 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:21:00,506 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:21:00,508 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:21:00,508 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 18:21:00,510 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:21:00,511 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 18:21:00,513 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:21:00,513 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:21:00,514 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 18:21:00,514 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 18:21:00,514 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 18:21:00,515 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 18:21:01,010 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:21:01,010 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 18:21:01,011 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:21:01,179 | groundzero | INFO | __init__.py:468 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:21:16,265 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:21:16,267 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:21:16,268 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 18:21:16,268 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:21:16,269 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:21:16,271 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:21:16,272 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:21:16,272 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:21:16,273 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:21:16,273 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:21:16,273 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:21:16,530 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:21:16,530 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:21:16,531 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:21:16,636 | groundzero | INFO | __init__.py:468 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:26:58,668 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:26:58,669 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:26:58,669 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 18:26:58,670 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:26:58,671 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:26:58,673 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:26:58,674 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:26:58,674 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:26:58,674 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:26:58,674 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:26:58,675 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:26:58,972 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:26:58,972 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:26:58,972 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:26:59,090 | groundzero | INFO | __init__.py:468 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:27:07,467 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:27:07,469 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:27:07,469 | groundzero | INFO | __init__.py:217 | Loading GroundZero-AI...
2026-01-17 18:27:12,345 | groundzero | INFO | __init__.py:228 | Using device: cuda
2026-01-17 18:27:12,347 | groundzero | ERROR | __init__.py:275 | Error loading model: Unrecognized model in data\models\groundzero\model. Should have a `model_type` key in its config.json, or contain one of the following strings in its name: aimv2, aimv2_vision_model, albert, align, altclip, apertus, arcee, aria, aria_text, audio-spectrogram-transformer, autoformer, aya_vision, bamba, bark, bart, beit, bert, bert-generation, big_bird, bigbird_pegasus, biogpt, bit, bitnet, blenderbot, blenderbot-small, blip, blip-2, blip_2_qformer, bloom, bridgetower, bros, camembert, canine, chameleon, chinese_clip, chinese_clip_vision_model, clap, clip, clip_text_model, clip_vision_model, clipseg, clvp, code_llama, codegen, cohere, cohere2, cohere2_vision, colpali, colqwen2, conditional_detr, convbert, convnext, convnextv2, cpmant, csm, ctrl, cvt, d_fine, dab-detr, dac, data2vec-audio, data2vec-text, data2vec-vision, dbrx, deberta, deberta-v2, decision_transformer, deepseek_v2, deepseek_v3, deepseek_vl, deepseek_vl_hybrid, deformable_detr, deit, depth_anything, depth_pro, deta, detr, dia, diffllama, dinat, dinov2, dinov2_with_registers, dinov3_convnext, dinov3_vit, distilbert, doge, donut-swin, dots1, dpr, dpt, efficientformer, efficientloftr, efficientnet, electra, emu3, encodec, encoder-decoder, eomt, ernie, ernie4_5, ernie4_5_moe, ernie_m, esm, evolla, exaone4, falcon, falcon_h1, falcon_mamba, fastspeech2_conformer, fastspeech2_conformer_with_hifigan, flaubert, flava, florence2, fnet, focalnet, fsmt, funnel, fuyu, gemma, gemma2, gemma3, gemma3_text, gemma3n, gemma3n_audio, gemma3n_text, gemma3n_vision, git, glm, glm4, glm4_moe, glm4v, glm4v_moe, glm4v_moe_text, glm4v_text, glpn, got_ocr2, gpt-sw3, gpt2, gpt_bigcode, gpt_neo, gpt_neox, gpt_neox_japanese, gpt_oss, gptj, gptsan-japanese, granite, granite_speech, granitemoe, granitemoehybrid, granitemoeshared, granitevision, graphormer, grounding-dino, groupvit, helium, hgnet_v2, hiera, hubert, hunyuan_v1_dense, hunyuan_v1_moe, ibert, idefics, idefics2, idefics3, idefics3_vision, ijepa, imagegpt, informer, instructblip, instructblipvideo, internvl, internvl_vision, jamba, janus, jetmoe, jukebox, kosmos-2, kosmos-2.5, kyutai_speech_to_text, layoutlm, layoutlmv2, layoutlmv3, led, levit, lfm2, lightglue, lilt, llama, llama4, llama4_text, llava, llava_next, llava_next_video, llava_onevision, longformer, longt5, luke, lxmert, m2m_100, mamba, mamba2, marian, markuplm, mask2former, maskformer, maskformer-swin, mbart, mctct, mega, megatron-bert, metaclip_2, mgp-str, mimi, minimax, mistral, mistral3, mixtral, mlcd, mllama, mm-grounding-dino, mobilebert, mobilenet_v1, mobilenet_v2, mobilevit, mobilevitv2, modernbert, modernbert-decoder, moonshine, moshi, mpnet, mpt, mra, mt5, musicgen, musicgen_melody, mvp, nat, nemotron, nezha, nllb-moe, nougat, nystromformer, olmo, olmo2, olmoe, omdet-turbo, oneformer, open-llama, openai-gpt, opt, ovis2, owlv2, owlvit, paligemma, patchtsmixer, patchtst, pegasus, pegasus_x, perceiver, perception_encoder, perception_lm, persimmon, phi, phi3, phi4_multimodal, phimoe, pix2struct, pixtral, plbart, poolformer, pop2piano, prompt_depth_anything, prophetnet, pvt, pvt_v2, qdqbert, qwen2, qwen2_5_omni, qwen2_5_vl, qwen2_5_vl_text, qwen2_audio, qwen2_audio_encoder, qwen2_moe, qwen2_vl, qwen2_vl_text, qwen3, qwen3_moe, rag, realm, recurrent_gemma, reformer, regnet, rembert, resnet, retribert, roberta, roberta-prelayernorm, roc_bert, roformer, rt_detr, rt_detr_resnet, rt_detr_v2, rwkv, sam, sam2, sam2_hiera_det_model, sam2_video, sam2_vision_model, sam_hq, sam_hq_vision_model, sam_vision_model, seamless_m4t, seamless_m4t_v2, seed_oss, segformer, seggpt, sew, sew-d, shieldgemma2, siglip, siglip2, siglip_vision_model, smollm3, smolvlm, smolvlm_vision, speech-encoder-decoder, speech_to_text, speech_to_text_2, speecht5, splinter, squeezebert, stablelm, starcoder2, superglue, superpoint, swiftformer, swin, swin2sr, swinv2, switch_transformers, t5, t5gemma, table-transformer, tapas, textnet, time_series_transformer, timesfm, timesformer, timm_backbone, timm_wrapper, trajectory_transformer, transfo-xl, trocr, tvlt, tvp, udop, umt5, unispeech, unispeech-sat, univnet, upernet, van, video_llava, videomae, vilt, vipllava, vision-encoder-decoder, vision-text-dual-encoder, visual_bert, vit, vit_hybrid, vit_mae, vit_msn, vitdet, vitmatte, vitpose, vitpose_backbone, vits, vivit, vjepa2, voxtral, voxtral_encoder, wav2vec2, wav2vec2-bert, wav2vec2-conformer, wavlm, whisper, xclip, xcodec, xglm, xlm, xlm-prophetnet, xlm-roberta, xlm-roberta-xl, xlnet, xlstm, xmod, yolos, yoso, zamba, zamba2, zoedepth
2026-01-17 18:27:12,347 | groundzero | INFO | groundzero.py:99 | Falling back to mock model
2026-01-17 18:27:12,348 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:27:12,350 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:27:12,352 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:27:12,352 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:27:12,352 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:27:12,353 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:27:12,353 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:27:12,353 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:27:12,354 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:27:12,354 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:27:12,354 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:27:12,411 | groundzero | INFO | __init__.py:468 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:29:59,446 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:29:59,447 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:29:59,448 | groundzero | INFO | __init__.py:217 | Loading GroundZero-AI...
2026-01-17 18:30:03,055 | groundzero | INFO | __init__.py:228 | Using device: cuda
2026-01-17 18:30:03,403 | groundzero | WARNING | __init__.py:256 | bitsandbytes not available, loading without quantization
2026-01-17 18:30:11,256 | groundzero | INFO | __init__.py:268 | [OK] GroundZero-AI loaded successfully
2026-01-17 18:30:11,263 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:30:11,267 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:30:11,277 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:30:11,279 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:30:11,280 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:30:11,281 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:30:11,281 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:30:11,283 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:30:11,289 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:30:11,289 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:30:11,289 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:30:11,502 | groundzero | INFO | __init__.py:468 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:39:30,934 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:39:30,937 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:39:30,937 | groundzero | INFO | __init__.py:217 | Loading GroundZero-AI...
2026-01-17 18:39:37,051 | groundzero | INFO | __init__.py:228 | Using device: cuda
2026-01-17 18:39:37,372 | groundzero | WARNING | __init__.py:256 | bitsandbytes not available, loading without quantization
2026-01-17 18:39:48,412 | groundzero | INFO | __init__.py:268 | [OK] GroundZero-AI loaded successfully
2026-01-17 18:39:48,416 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:39:48,421 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:39:48,431 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:39:48,433 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:39:48,434 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:39:48,435 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:39:48,436 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:39:48,437 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:39:48,441 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:39:48,442 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:39:48,442 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:39:48,648 | groundzero | INFO | __init__.py:469 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 18:45:50,102 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:45:50,105 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:45:50,105 | groundzero | INFO | __init__.py:217 | Loading GroundZero-AI...
2026-01-17 18:45:56,771 | groundzero | INFO | __init__.py:228 | Using device: cuda
2026-01-17 18:45:57,084 | groundzero | WARNING | __init__.py:256 | bitsandbytes not available, loading without quantization
2026-01-17 18:46:09,933 | groundzero | INFO | __init__.py:268 | [OK] GroundZero-AI loaded successfully
2026-01-17 18:46:09,948 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:46:09,960 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:46:09,977 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:46:09,978 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 18:46:09,980 | groundzero | INFO | groundzero.py:111 | Memory system initialized
2026-01-17 18:46:09,981 | groundzero | INFO | groundzero.py:116 | Web search initialized
2026-01-17 18:46:09,982 | groundzero | INFO | groundzero.py:126 | Reasoning engine initialized
2026-01-17 18:46:09,984 | groundzero | INFO | groundzero.py:142 | Continuous learning initialized
2026-01-17 18:46:09,992 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\Nevin\OneDrive - Eyona\Code\ML\GroundZero\data\workspace)
2026-01-17 18:46:09,993 | groundzero | INFO | groundzero.py:149 | Tools initialized (code execution, documents, files)
2026-01-17 18:46:09,993 | groundzero | INFO | groundzero.py:80 | [OK] GroundZero AI initialized!
2026-01-17 18:58:01,878 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 18:58:01,890 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 18:58:01,891 | groundzero | INFO | __init__.py:217 | Loading GroundZero-AI...
2026-01-17 18:58:01,895 | groundzero | INFO | __init__.py:228 | Using device: cuda
2026-01-17 18:58:02,274 | groundzero | WARNING | __init__.py:256 | bitsandbytes not available, loading without quantization
2026-01-17 18:58:02,407 | groundzero | ERROR | __init__.py:275 | Error loading model: You are trying to offload the whole model to the disk. Please use the `disk_offload` function instead.
2026-01-17 18:58:02,408 | groundzero | INFO | groundzero.py:99 | Falling back to mock model
2026-01-17 18:58:02,411 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 18:58:02,411 | groundzero | INFO | groundzero.py:105 | Knowledge graph: 1 nodes
2026-01-17 18:58:02,418 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 18:58:02,419 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
